size,fraction
63.245553,0
70.962678,8.18621E-05
79.621434,0.000173713
89.336718,0.000276771
100.237447,0.000392405
112.468265,0.000522147
126.191469,0.000667721
141.589157,0.000831058
158.865647,0.001014324
178.250188,0.001219953
200,0.001450671
224.403691,0.001709542
251.785082,0.002
282.507509,0.002000985
316.978638,0.00200209
355.655882,0.002003329
399.052463,0.00200472
447.744228,0.002006281
502.377286,0.002008032
563.676586,0.003789812
632.455532,0.007570781
709.626778,0.008032129
796.214341,0.019910658
893.367184,0.045117118
1002.374467,0.048192771
1124.68265,0.104021861
1261.914689,0.222492221
1415.891569,0.236947791
1588.656469,0.441846847
1782.501876,0.876646426
2000,0.9297
2800,1
