size,fraction
39.905246,0
44.774423,0.000813605
50.237729,0.001726485
56.367659,0.002750753
63.245553,0.0039
70.962678,0.005083102
79.621434,0.006410563
89.336718,0.0079
100.237447,0.011242262
112.468265,0.014992342
126.191469,0.0192
141.589157,0.049960641
158.865647,0.084474647
178.250188,0.1232
200,0.164046581
224.403691,0.209877201
251.785082,0.2613
282.507509,0.447549767
316.978638,0.842775203
355.655882,0.891
399.052463,0.922204304
447.744228,0.988420413
502.377286,0.9965
563.676586,0.997357749
632.455532,0.999177907
709.626778,0.9994
796.214341,0.999577465
893.367184,0.99995405
1002.374467,1
