size,fraction
0.355656,0
0.399052,0.00063775
0.447744,0.00171096
0.502377,0.00339736
0.563677,0.00539309
0.632456,0.0076446
0.709627,0.01001062
0.796214,0.01235974
0.893367,0.01458933
1.002374,0.01662381
1.124683,0.01843041
1.261915,0.0200245
1.415892,0.02145501
1.588656,0.02280508
1.782502,0.02417123
2,0.02565934
2.244037,0.02738869
2.517851,0.02949884
2.825075,0.03215457
3.169786,0.03556314
3.556559,0.03993668
3.990525,0.04554838
4.477442,0.05264204
5.023773,0.06150792
5.636766,0.07239568
6.324555,0.08553945
7.096268,0.10114905
7.962143,0.11933776
8.933672,0.14024203
10.023745,0.16384597
11.246826,0.19018574
12.619147,0.21918879
14.158916,0.25081646
15.886565,0.28501231
17.825019,0.32170785
20,0.36087975
22.440369,0.40241385
25.178508,0.44622961
28.250751,0.49207758
31.697864,0.53964297
35.565588,0.58841702
39.905246,0.6377351
44.774423,0.68676566
50.237729,0.73456961
56.367659,0.78009751
63.245553,0.82242285
70.962678,0.86063205
79.621434,0.89411502
89.336718,0.9224731
100.237447,0.9455949
112.468265,0.96373018
126.191469,0.97727989
141.589157,0.98657251
158.865647,0.99142541
178.250188,0.99318804
200,0.99458364
224.403691,0.99562872
251.785082,0.99633105
282.507509,0.99693268
316.978638,0.99748526
355.655882,0.99802681
399.052463,0.99861218
447.744228,0.99914277
502.377286,0.99961385
563.676586,0.99992647
632.455532,1
