size,fraction
0.158866,0
0.17825,0.000485395
0.2,0.000859107
0.224404,0.001278419
0.251785,0.001748883
0.282508,0.00227677
0.316979,0.003533608
0.355656,0.003533608
0.399052,0.004279244
0.447744,0.005115876
0.502377,0.006054588
0.563677,0.007107852
0.632456,0.008289622
0.709627,0.009615584
0.796214,0.011103333
0.893367,0.012772629
1.002374,0.014645601
1.124683,0.016747131
1.261915,0.019105069
1.415892,0.021750722
1.588656,0.024719175
1.782502,0.028049863
2,0.031786942
2.244037,0.035980017
2.517851,0.040684725
2.825075,0.045963488
3.169786,0.054190305
3.556559,0.068952634
3.990525,0.085516221
4.477442,0.104591538
5.023773,0.127939017
5.636766,0.153023938
6.324555,0.174517344
7.096268,0.198633375
7.962143,0.2234898
8.933672,0.251247771
10.023745,0.282392714
11.246826,0.318963313
12.619147,0.362984486
14.158916,0.41582469
15.886565,0.475224829
17.825019,0.54161024
20,0.609428571
22.440369,0.685185138
25.178508,0.756581078
28.250751,0.820260919
31.697864,0.879395719
35.565588,0.93775914
39.905246,0.967084539
44.774423,0.990953054
50.237729,1
