size,fraction
0.01,0
0.0115,0.0008
0.0132,0.0026
0.0151,0.0055
0.0174,0.0098
0.02,0.0155
0.02244,0.021810345
0.025179,0.029434824
0.028251,0.038553051
0.031698,0.049326889
0.035566,0.061971569
0.039905,0.07686661
0.044774,0.093831765
0.050238,0.113116471
0.056368,0.134935538
0.063246,0.159459955
0.070963,0.186718647
0.079621,0.216734169
0.089337,0.249011051
0.100237,0.283227797
0.112468,0.32100144
0.126191,0.361156461
0.141589,0.40279551
0.158866,0.447244892
0.17825,0.490778125
0.2,0.535866667
0.224404,0.581728439
0.251785,0.6279846
0.282508,0.673832215
0.316979,0.717826909
0.355656,0.758396613
0.399052,0.795876281
0.447744,0.829939794
0.502377,0.860069038
0.563677,0.885804411
0.632456,0.906773978
0.709627,0.921295403
0.796214,0.931288265
0.893367,0.937693945
1.002374,0.941153434
1.124683,0.942546281
1.261915,0.9428
1.415892,0.9428
1.588656,0.9428
1.782502,0.9428
2,0.942864286
2.244037,0.943118206
2.517851,0.943716975
2.825075,0.944381243
3.169786,0.945106529
3.556559,0.9459535
3.990525,0.946934531
4.477442,0.948068605
5.023773,0.949435363
5.636766,0.951009264
6.324555,0.952636174
7.096268,0.954342003
7.962143,0.956097768
8.933672,0.957881456
10.023745,0.959736409
11.246826,0.9616118
12.619147,0.963579972
14.158916,0.965661732
15.886565,0.967823359
17.825019,0.970057713
20,0.9724
22.440369,0.97492452
25.178508,0.977343433
28.250751,0.979750558
31.697864,0.982132004
35.565588,0.98444128
39.905246,0.986642503
44.774423,0.988608902
50.237729,0.990306237
56.367659,0.992186082
63.245553,0.99334198
70.962678,0.994263115
79.621434,0.995522519
89.336718,0.996510514
100.237447,0.997420376
112.468265,0.998347673
126.191469,0.999175176
141.589157,0.999753837
158.865647,1
