runtime,current,mass,mass_flowrate
8,10,79.56,0.597
10,10,117.8,0.707
15,10,184.6,0.738
5,12,79.9,0.959
8,12,133.6,1.002
10,12,166.4,0.998
15,12,257.4,1.030
5,14,106.1,1.273
8,14,169.5,1.271
10,14,210.7,1.264
15,14,321.6,1.286
5,16,120.81,1.450
8,16,201.7,1.513
10,16,247.7,1.486
15,16,389.8,1.559
5,20,170.2,2.042
8,20,262,1.965
10,20,332.7,1.996
15,20,501.8,2.007
5,10,62.6,0.751
6,10,74,0.740,
7,10,87.3,0.748
8,10,100.4,0.753
9,10,108.7,0.725
10,10,117.2,0.703
13,10,150.4,0.694
14,10,160.1,0.686
15,10,166.8,0.667
5,14,96,1.152
8,14,158.1,1.186
10,14,213.2,1.279
15,14,314.9,1.260
5,16,124,1.488
8,16,201.2,1.509
10,16,251.6,1.510
15,16,380,1.520
5,20,170.7,2.048
8,20,268,2.010
10,20,345.3,2.072
15,20,517.4,2.070
