volumetric_flowrate,mass_flowrate,valve_position,temperature
150,2.5,10.1,21
200,3.3,14.3,21
250,4.2,18.4,21
300,5.0,22.4,21
350,5.8,27.1,21
400,6.7,32.2,21
150,2.5,10.1,21
200,3.3,14.0,21
250,4.2,18.1,21
300,5.0,22.5,21
350,5.8,28.1,21
400,6.7,32.1,21
150,2.5,10.1,21
200,3.3,13.4,21
250,4.2,18.8,21
300,5.0,22.5,21
350,5.8,27.0,21
400,6.7,31.9,21
150,2.5,10.1,7
200,3.3,13.8,7
250,4.2,17.8,7
300,5.0,22.3,7
350,5.8,26.6,7
400,6.7,32.1,7
150,2.5,9.9,7
200,3.3,13.6,7
250,4.2,17.7,7
300,5.0,21.8,7
350,5.8,27.2,7
400,6.7,31.4,7
150,2.5,10.1,7
200,3.3,13.6,7
250,4.2,18.7,7
300,5.0,22.5,7
350,5.8,26.8,7
400,6.7,32.0,7
