runtime,mass,mass_flowrate
10,2429,14.57
3.6,932,15.53
3.1,812,15.72
13.1,3292,15.08
5.3,1374,15.55
4.8,1170,14.63
4.8,1245,15.56
7,1731,14.84
9.8,2581,15.80
10.8,2687,14.93
3.7,922,14.95
12,2939,14.70
10.3,2624,15.29
8.8,2250,15.34
4.3,1072,14.96
7.3,1867,15.35
10.9,2751,15.14
14.6,3648,14.99
7.2,1829,15.24
10.8,2745,15.25
13.6,3447,15.21
7.3,1823,14.98
3.1,813,15.74
2.5,643,15.43
2.7,681,15.13
14,3554,15.23
10.1,2599,15.44
8.5,2201,15.54
13.4,3414,15.29
12.1,3050,15.12
12.6,3162,15.06
7.6,1895,14.96
10.6,2642,14.95
12.1,3020,14.98
10.2,2624,15.44
6.1,1552,15.27
7.5,1948,15.58
7.4,1822,14.77
4,1054,15.81
13.1,3294,15.09
